,file_name,class_augment,class,augment
41713,308783_1_0.jpg,1_T,1,T
80127,500422_1_0.jpg,0_T,0,T
77591,487435_1_0.jpg,0_T,0,T
97067,62756_0_0.jpg,0_T,0,T
93184,566704_0_0.jpg,0_T,0,T
2529,112688_2_0.jpg,0_T,0,T
11218,155049_0_0.jpg,1_T,1,T
100891,81188_3_0.jpg,1_T,1,T
93142,566536_1_0.jpg,0_T,0,T
21550,207077_2_0.jpg,0_T,0,T
47366,335844_0_0.jpg,0_T,0,T
97903,66785_1_0.jpg,0_T,0,T
19318,196798_2_0.jpg,0_T,0,T
64736,422870_1_0.jpg,0_T,0,T
27610,237453_1_0.jpg,0_T,0,T
32989,265186_1_0.jpg,1_T,1,T
72305,461509_0_0.jpg,1_T,1,T
51412,356280_3_0.jpg,0_T,0,T
18983,195180_1_0.jpg,0_T,0,T
59414,395791_4_0.jpg,0_T,0,T
25535,226751_3_0.jpg,0_T,0,T
58481,390879_2_0.jpg,0_T,0,T
81119,505542_0_0.jpg,0_T,0,T
85349,527054_0_0.jpg,0_T,0,T
22877,21330_0_0.jpg,0_T,0,T
68156,440480_0_0.jpg,0_T,0,T
74248,471073_0_0.jpg,1_T,1,T
30377,25191_0_0.jpg,0_T,0,T
21379,20641_0_0.jpg,0_T,0,T
99092,72701_0_0.jpg,0_T,0,T
16780,184161_0_0.jpg,0_T,0,T
37957,290584_3_0.jpg,0_T,0,T
55810,377669_0_0.jpg,0_T,0,T
92767,564820_1_0.jpg,0_T,0,T
72504,462559_0_0.jpg,0_T,0,T
47355,335781_1_0.jpg,0_T,0,T
16589,183287_0_0.jpg,0_T,0,T
29548,247247_2_0.jpg,0_T,0,T
87327,537379_0_0.jpg,0_T,0,T
61705,407130_1_0.jpg,1_T,1,T
103261,9398_5_0.jpg,0_T,0,T
82115,510665_0_0.jpg,0_T,0,T
86323,532285_0_0.jpg,0_T,0,T
38875,295162_0_0.jpg,0_T,0,T
55284,375376_2_0.jpg,0_T,0,T
31694,258391_1_0.jpg,1_T,1,T
80928,504493_1_0.jpg,0_T,0,T
4020,119904_1_0.jpg,0_T,0,T
37799,2896_3_0.jpg,0_T,0,T
70171,451300_0_0.jpg,0_T,0,T
21413,20650_5_0.jpg,0_T,0,T
47627,33717_1_0.jpg,0_T,0,T
41946,30997_2_0.jpg,0_T,0,T
87988,540872_1_0.jpg,0_T,0,T
58215,38955_0_0.jpg,0_T,0,T
20434,201925_2_0.jpg,0_T,0,T
101934,86652_0_0.jpg,0_T,0,T
52637,362395_1_0.jpg,0_T,0,T
2046,109895_0_0.jpg,0_T,0,T
67768,438341_1_0.jpg,0_T,0,T
22996,213881_0_0.jpg,0_T,0,T
95857,580238_3_0.jpg,0_T,0,T
59357,395520_8_0.jpg,0_T,0,T
35768,279550_1_0.jpg,0_T,0,T
22313,210537_0_0.jpg,1_T,1,T
3291,116252_0_0.jpg,0_T,0,T
50253,350534_5_0.jpg,1_T,1,T
28530,242118_0_0.jpg,0_T,0,T
36272,282283_0_0.jpg,0_T,0,T
38843,29504_0_0.jpg,0_T,0,T
30834,254240_3_0.jpg,0_T,0,T
27461,236772_0_0.jpg,0_T,0,T
100196,78085_1_0.jpg,0_T,0,T
8869,143256_0_0.jpg,0_T,0,T
76243,480624_3_0.jpg,1_T,1,T
45176,325939_0_0.jpg,0_T,0,T
66,100396_7_0.jpg,1_T,1,T
63878,418810_0_0.jpg,0_T,0,T
101513,84498_1_0.jpg,0_T,0,T
21877,208469_1_0.jpg,0_T,0,T
28236,240500_1_0.jpg,0_T,0,T
10769,152742_1_0.jpg,0_T,0,T
52042,35952_2_0.jpg,0_T,0,T
72331,461572_3_0.jpg,0_T,0,T
87799,53989_2_0.jpg,1_T,1,T
18098,190447_1_0.jpg,0_T,0,T
95184,576875_1_0.jpg,1_T,1,T
19176,196074_3_0.jpg,0_T,0,T
95978,580913_0_0.jpg,0_T,0,T
70337,452102_3_0.jpg,1_T,1,T
83908,519664_1_0.jpg,0_T,0,T
31165,255992_2_0.jpg,0_T,0,T
72402,461870_3_0.jpg,0_T,0,T
70225,451493_1_0.jpg,0_T,0,T
47287,335518_0_0.jpg,1_T,1,T
1440,106964_1_0.jpg,0_T,0,T
19175,196074_2_0.jpg,0_T,0,T
73841,469034_0_0.jpg,0_T,0,T
93527,568508_1_0.jpg,0_T,0,T
39255,296886_2_0.jpg,1_T,1,T
42596,313015_3_0.jpg,0_T,0,T
59051,393900_0_0.jpg,0_T,0,T
11750,157714_2_0.jpg,0_T,0,T
96857,61867_1_0.jpg,0_T,0,T
74119,470381_5_0.jpg,1_T,1,T
40760,30401_1_0.jpg,0_T,0,T
74577,472552_1_0.jpg,0_T,0,T
64613,42222_4_0.jpg,0_T,0,T
66910,433951_0_0.jpg,0_T,0,T
4196,12096_1_0.jpg,0_T,0,T
34042,270515_1_0.jpg,0_T,0,T
86073,531000_0_0.jpg,0_T,0,T
16609,18336_1_0.jpg,0_T,0,T
28603,242520_2_0.jpg,0_T,0,T
26853,233463_0_0.jpg,0_T,0,T
97868,66637_4_0.jpg,0_T,0,T
32309,261757_1_0.jpg,0_T,0,T
24944,223871_0_0.jpg,0_T,0,T
4095,120369_3_0.jpg,0_T,0,T
95943,580827_0_0.jpg,0_T,0,T
62024,409042_1_0.jpg,0_T,0,T
56169,379376_0_0.jpg,0_T,0,T
53076,364491_0_0.jpg,0_T,0,T
65417,426205_0_0.jpg,0_T,0,T
63208,415151_0_0.jpg,0_T,0,T
102824,91707_0_0.jpg,0_T,0,T
28013,239417_2_0.jpg,0_T,0,T
53615,366839_0_0.jpg,0_T,0,T
27028,234316_1_0.jpg,0_T,0,T
49620,347469_1_0.jpg,0_T,0,T
27027,234316_0_0.jpg,0_T,0,T
97466,64693_0_0.jpg,0_T,0,T
103271,94002_1_0.jpg,0_T,0,T
93280,567135_2_0.jpg,1_T,1,T
19473,197398_2_0.jpg,1_T,1,T
10096,149357_2_0.jpg,0_T,0,T
97935,66988_0_0.jpg,0_T,0,T
29678,248029_0_0.jpg,0_T,0,T
89014,54606_0_0.jpg,0_T,0,T
2907,114398_0_0.jpg,0_T,0,T
6823,13333_0_0.jpg,0_T,0,T
31474,25727_0_0.jpg,0_T,0,T
103472,94975_0_0.jpg,0_T,0,T
82758,513980_1_0.jpg,1_T,1,T
59366,39556_0_0.jpg,0_T,0,T
65454,426420_0_0.jpg,0_T,0,T
78913,49413_0_0.jpg,0_T,0,T
62129,409574_0_0.jpg,0_T,0,T
69919,449840_0_0.jpg,0_T,0,T
15433,177246_0_0.jpg,0_T,0,T
83598,518177_0_0.jpg,0_T,0,T
58241,389644_6_0.jpg,0_T,0,T
4608,122750_4_0.jpg,1_T,1,T
96092,581346_0_0.jpg,0_T,0,T
54064,369331_0_0.jpg,0_T,0,T
53025,36433_1_0.jpg,1_T,1,T
41159,306127_1_0.jpg,0_T,0,T
5022,124832_1_0.jpg,0_T,0,T
48469,341778_0_0.jpg,0_T,0,T
25084,22447_1_0.jpg,0_T,0,T
33578,268123_2_0.jpg,0_T,0,T
82894,514725_1_0.jpg,0_T,0,T
45817,328888_0_0.jpg,0_T,0,T
59543,396324_2_0.jpg,0_T,0,T
61975,40878_0_0.jpg,0_T,0,T
102916,92093_3_0.jpg,1_T,1,T
492,102667_1_0.jpg,1_T,1,T
82277,511554_1_0.jpg,0_T,0,T
80111,500316_1_0.jpg,0_T,0,T
74636,472830_0_0.jpg,0_T,0,T
10913,153542_0_0.jpg,0_T,0,T
88847,545250_1_0.jpg,0_T,0,T
27216,235581_0_0.jpg,0_T,0,T
87396,53774_0_0.jpg,0_T,0,T
66844,433428_1_0.jpg,0_T,0,T
85842,529850_2_0.jpg,0_T,0,T
68678,443139_2_0.jpg,0_T,0,T
25706,227675_1_0.jpg,0_T,0,T
6870,133634_0_0.jpg,0_T,0,T
60703,402087_0_0.jpg,0_T,0,T
82601,513266_1_0.jpg,0_T,0,T
82464,512582_2_0.jpg,0_T,0,T
83180,516114_0_0.jpg,0_T,0,T
38329,292529_1_0.jpg,0_T,0,T
24098,219680_4_0.jpg,0_T,0,T
25085,22447_2_0.jpg,0_T,0,T
20647,203069_0_0.jpg,0_T,0,T
104183,98478_2_0.jpg,0_T,0,T
33241,26655_1_0.jpg,0_T,0,T
20407,201758_1_0.jpg,0_T,0,T
74949,474373_3_0.jpg,0_T,0,T
80696,503472_1_0.jpg,0_T,0,T
99062,72582_1_0.jpg,0_T,0,T
46658,332748_1_0.jpg,1_T,1,T
63536,416819_0_0.jpg,0_T,0,T
81956,50981_0_0.jpg,0_T,0,T
85190,526418_0_0.jpg,0_T,0,T
96632,60700_1_0.jpg,1_T,1,T
46871,333705_0_0.jpg,0_T,0,T
19216,196299_1_0.jpg,0_T,0,T
10089,149306_0_0.jpg,0_T,0,T
72906,464462_0_0.jpg,0_T,0,T
36087,281220_0_0.jpg,0_T,0,T
10852,153072_1_0.jpg,0_T,0,T
96705,61203_0_0.jpg,0_T,0,T
45174,325936_0_0.jpg,0_T,0,T
8093,13949_3_0.jpg,0_T,0,T
84884,524679_1_0.jpg,0_T,0,T
19285,196660_0_0.jpg,1_T,1,T
61320,405183_4_0.jpg,0_T,0,T
85942,530407_1_0.jpg,0_T,0,T
100028,77222_3_0.jpg,1_T,1,T
20785,203702_0_0.jpg,1_T,1,T
50754,352877_0_0.jpg,1_T,1,T
16840,184416_0_0.jpg,0_T,0,T
70655,453755_0_0.jpg,0_T,0,T
47163,334939_1_0.jpg,0_T,0,T
64970,424157_1_0.jpg,0_T,0,T
57085,383979_2_0.jpg,0_T,0,T
7708,137609_3_0.jpg,0_T,0,T
78883,493851_1_0.jpg,0_T,0,T
24640,222305_0_0.jpg,1_T,1,T
103303,94145_0_0.jpg,0_T,0,T
4828,123909_0_0.jpg,0_T,0,T
10812,15289_0_0.jpg,0_T,0,T
90787,555239_2_0.jpg,0_T,0,T
20170,200572_1_0.jpg,0_T,0,T
61173,404385_1_0.jpg,0_T,0,T
2189,110794_2_0.jpg,1_T,1,T
66024,429305_0_0.jpg,0_T,0,T
42487,312476_3_0.jpg,0_T,0,T
20906,204206_0_0.jpg,0_T,0,T
87597,538844_1_0.jpg,0_T,0,T
2370,111777_1_0.jpg,1_T,1,T
69309,446920_0_0.jpg,1_T,1,T
69519,447840_0_0.jpg,0_T,0,T
27359,236279_1_0.jpg,0_T,0,T
31033,255272_0_0.jpg,0_T,0,T
1300,106293_0_0.jpg,0_T,0,T
1192,105804_1_0.jpg,0_T,0,T
68239,440938_1_0.jpg,0_T,0,T
8774,142826_1_0.jpg,0_T,0,T
91031,556730_0_0.jpg,0_T,0,T
86503,533050_0_0.jpg,0_T,0,T
56167,379357_0_0.jpg,0_T,0,T
40503,302728_0_0.jpg,0_T,0,T
28782,24343_0_0.jpg,0_T,0,T
49942,348951_1_0.jpg,0_T,0,T
55056,374061_0_0.jpg,0_T,0,T
82068,510522_0_0.jpg,0_T,0,T
70267,451751_4_0.jpg,0_T,0,T
78482,491739_3_0.jpg,0_T,0,T
8327,140490_1_0.jpg,0_T,0,T
17758,188421_0_0.jpg,0_T,0,T
90727,554875_0_0.jpg,0_T,0,T
52820,363431_4_0.jpg,0_T,0,T
50575,351910_0_0.jpg,0_T,0,T
16908,184786_0_0.jpg,0_T,0,T
46188,330495_0_0.jpg,1_T,1,T
95345,57782_0_0.jpg,0_T,0,T
56567,381457_0_0.jpg,1_T,1,T
82733,513881_0_0.jpg,0_T,0,T
78664,492630_0_0.jpg,0_T,0,T
41055,305492_0_0.jpg,0_T,0,T
61866,408099_0_0.jpg,0_T,0,T
33384,267284_3_0.jpg,0_T,0,T
56335,380258_0_0.jpg,0_T,0,T
24030,219349_6_0.jpg,0_T,0,T
54335,370550_0_0.jpg,0_T,0,T
58040,388847_0_0.jpg,0_T,0,T
9381,145638_1_0.jpg,0_T,0,T
48736,343201_4_0.jpg,0_T,0,T
62738,41273_0_0.jpg,0_T,0,T
7583,137096_1_0.jpg,0_T,0,T
53570,366517_0_0.jpg,0_T,0,T
74939,474333_1_0.jpg,0_T,0,T
66678,432622_0_0.jpg,1_T,1,T
82798,514213_0_0.jpg,0_T,0,T
63923,419026_1_0.jpg,0_T,0,T
80556,502581_2_0.jpg,0_T,0,T
53796,367767_0_0.jpg,0_T,0,T
4678,123067_2_0.jpg,0_T,0,T
91491,55891_1_0.jpg,1_T,1,T
10206,149884_0_0.jpg,0_T,0,T
23747,217855_3_0.jpg,1_T,1,T
60072,398799_2_0.jpg,0_T,0,T
12242,160260_0_0.jpg,0_T,0,T
21409,20650_1_0.jpg,0_T,0,T
42449,312368_0_0.jpg,0_T,0,T
101268,8320_0_0.jpg,0_T,0,T
70280,451824_1_0.jpg,0_T,0,T
33818,269273_2_0.jpg,0_T,0,T
52658,36262_0_0.jpg,0_T,0,T
53710,367433_0_0.jpg,0_T,0,T
58099,389016_1_0.jpg,0_T,0,T
39564,298186_2_0.jpg,0_T,0,T
64672,42254_0_0.jpg,0_T,0,T
46037,329733_0_0.jpg,0_T,0,T
96670,60951_3_0.jpg,1_T,1,T
66407,431184_0_0.jpg,0_T,0,T
54238,369920_1_0.jpg,1_T,1,T
22696,212523_3_0.jpg,1_T,1,T
66523,431893_2_0.jpg,0_T,0,T
26248,23035_0_0.jpg,0_T,0,T
36621,283891_0_0.jpg,0_T,0,T
95918,580668_3_0.jpg,0_T,0,T
35771,279584_2_0.jpg,0_T,0,T
100907,81283_3_0.jpg,0_T,0,T
47751,337786_0_0.jpg,0_T,0,T
103017,92601_2_0.jpg,0_T,0,T
102406,8922_0_0.jpg,0_T,0,T
81570,507776_1_0.jpg,0_T,0,T
99292,73591_1_0.jpg,0_T,0,T
102018,87100_0_0.jpg,0_T,0,T
79528,496874_0_0.jpg,0_T,0,T
45845,328981_0_0.jpg,0_T,0,T
92965,565699_0_0.jpg,0_T,0,T
39630,298458_4_0.jpg,1_T,1,T
97996,67261_3_0.jpg,0_T,0,T
67791,438422_4_0.jpg,1_T,1,T
58123,389128_0_0.jpg,0_T,0,T
85787,529549_0_0.jpg,0_T,0,T
57683,386996_1_0.jpg,1_T,1,T
98482,69816_0_0.jpg,0_T,0,T
46768,333283_0_0.jpg,0_T,0,T
87780,539727_2_0.jpg,0_T,0,T
84712,523772_1_0.jpg,0_T,0,T
78102,489798_3_0.jpg,0_T,0,T
52668,362677_0_0.jpg,0_T,0,T
104283,98927_1_0.jpg,0_T,0,T
64765,423036_1_0.jpg,0_T,0,T
97055,6270_0_0.jpg,0_T,0,T
59848,397719_1_0.jpg,0_T,0,T
54090,36942_0_0.jpg,0_T,0,T
35373,277533_0_0.jpg,0_T,0,T
10329,150675_1_0.jpg,0_T,0,T
82992,515249_0_0.jpg,0_T,0,T
100777,80690_2_0.jpg,0_T,0,T
93353,567383_0_0.jpg,0_T,0,T
7498,13678_1_0.jpg,0_T,0,T
706,103584_1_0.jpg,0_T,0,T
99500,74502_1_0.jpg,0_T,0,T
86400,532625_0_0.jpg,0_T,0,T
95996,58099_0_0.jpg,0_T,0,T
91982,561062_2_0.jpg,0_T,0,T
100398,79021_1_0.jpg,0_T,0,T
6794,133234_0_0.jpg,0_T,0,T
32352,261945_0_0.jpg,1_T,1,T
104025,97806_4_0.jpg,0_T,0,T
69533,447928_0_0.jpg,0_T,0,T
25882,228477_1_0.jpg,0_T,0,T
95709,579491_0_0.jpg,0_T,0,T
49456,346788_0_0.jpg,0_T,0,T
69094,445446_0_0.jpg,0_T,0,T
88006,540978_1_0.jpg,0_T,0,T
61899,408252_0_0.jpg,0_T,0,T
84963,525119_1_0.jpg,0_T,0,T
67297,435807_6_0.jpg,0_T,0,T
66626,432349_0_0.jpg,1_T,1,T
15510,177572_1_0.jpg,0_T,0,T
14628,173083_2_0.jpg,0_T,0,T
93378,567530_1_0.jpg,0_T,0,T
96919,62209_0_0.jpg,0_T,0,T
40525,302823_3_0.jpg,0_T,0,T
48974,344319_0_0.jpg,0_T,0,T
43200,315841_1_0.jpg,0_T,0,T
100137,77847_0_0.jpg,0_T,0,T
18736,193947_1_0.jpg,1_T,1,T
11909,158422_0_0.jpg,0_T,0,T
93474,568155_1_0.jpg,0_T,0,T
10304,150473_1_0.jpg,0_T,0,T
70739,454227_2_0.jpg,0_T,0,T
75963,47938_0_0.jpg,0_T,0,T
76927,484123_0_0.jpg,0_T,0,T
10520,151648_2_0.jpg,0_T,0,T
5701,127749_1_0.jpg,0_T,0,T
88871,54533_1_0.jpg,0_T,0,T
