,file_name,class_augment,class,augment
11625,157133_4_0.jpg,0_T,0,T
90341,553072_0_0.jpg,0_T,0,T
8482,14125_2_0.jpg,1_T,1,T
100497,79498_0_0.jpg,0_T,0,T
27374,236335_0_1.jpg,1_F,1,F
56839,3827_3_1.jpg,1_F,1,F
31794,258882_1_0.jpg,1_T,1,T
90653,554587_8_0.jpg,1_T,1,T
5245,125773_2_0.jpg,1_T,1,T
15689,178634_1_0.jpg,0_T,0,T
66831,433389_2_1.jpg,1_F,1,F
34945,275449_3_0.jpg,0_T,0,T
33964,270109_1_1.jpg,1_F,1,F
76536,482252_2_0.jpg,1_T,1,T
37727,289326_0_0.jpg,0_T,0,T
6765,133063_0_0.jpg,0_T,0,T
58872,392725_3_1.jpg,1_F,1,F
102937,92198_3_1.jpg,1_F,1,F
51279,355571_2_2.jpg,1_F,1,F
79600,497273_1_0.jpg,0_T,0,T
41632,308496_0_0.jpg,1_T,1,T
29745,248476_0_0.jpg,0_T,0,T
78974,494345_1_0.jpg,0_T,0,T
9233,144816_0_0.jpg,0_T,0,T
22602,211978_1_0.jpg,1_T,1,T
80898,504258_0_2.jpg,1_F,1,F
90930,556120_1_0.jpg,0_T,0,T
44466,322357_0_1.jpg,1_F,1,F
94137,571764_0_2.jpg,1_F,1,F
17363,186605_1_0.jpg,1_T,1,T
20906,204206_0_0.jpg,0_T,0,T
34745,274319_0_1.jpg,1_F,1,F
90244,552440_0_0.jpg,0_T,0,T
102586,90392_0_0.jpg,0_T,0,T
94800,574953_0_2.jpg,1_F,1,F
88709,544451_0_0.jpg,0_T,0,T
20872,204014_1_2.jpg,1_F,1,F
19012,195353_2_0.jpg,1_T,1,T
79697,497760_1_0.jpg,0_T,0,T
101273,8321_0_2.jpg,1_F,1,F
56086,37900_0_0.jpg,0_T,0,T
34150,271157_0_0.jpg,0_T,0,T
10955,15366_1_0.jpg,0_T,0,T
14056,169725_2_0.jpg,0_T,0,T
56848,382881_2_2.jpg,1_F,1,F
21735,207925_1_0.jpg,0_T,0,T
92211,561919_1_1.jpg,1_F,1,F
24501,221701_3_0.jpg,1_T,1,T
36810,284888_0_0.jpg,0_T,0,T
45698,328275_0_0.jpg,0_T,0,T
